backend,wall_time_s,gpu_solver_time_s,iterations,final_error,tolerance,converged,return_code,omp_threads,output_dir,stdout_log
cpu,7647.405263,,3540,9.985000000000e-09,1.000000000000e-08,1,0,20,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260413_010021/cpu,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260413_010021/cpu/run_stdout.log
cuda,1302.876395,1300.780000,3540,9.985000000000e-09,1.000000000000e-08,1,0,,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260413_010021/cuda,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260413_010021/cuda/run_stdout.log
