# x y rho
0.05 0.05 0.1999954578
0.15 0.05 0.1999955001
0.25 0.05 0.19999557
0.35 0.05 0.1999956671
0.45 0.05 0.1999957909
0.55 0.05 0.1999959406
0.65 0.05 0.1999961153
0.75 0.05 0.1999963139
0.85 0.05 0.1999965351
0.95 0.05 0.1999967778
1.05 0.05 0.1999970404
1.15 0.05 0.1999973212
1.25 0.05 0.1999976186
1.35 0.05 0.1999979309
1.45 0.05 0.1999982559
1.55 0.05 0.1999985919
1.65 0.05 0.1999989367
1.75 0.05 0.1999992882
1.85 0.05 0.1999996443
1.95 0.05 0.2000000027
2.05 0.05 0.2000003613
2.15 0.05 0.2000007179
2.25 0.05 0.2000010702
2.35 0.05 0.2000014161
2.45 0.05 0.2000017534
2.55 0.05 0.20000208
2.65 0.05 0.200002394
2.75 0.05 0.2000026933
2.85 0.05 0.2000029761
2.95 0.05 0.2000032407
3.05 0.05 0.2000034853
3.15 0.05 0.2000037084
3.25 0.05 0.2000039087
3.35 0.05 0.2000040849
3.45 0.05 0.2000042359
3.55 0.05 0.2000043607
3.65 0.05 0.2000044585
3.75 0.05 0.2000045288
3.85 0.05 0.200004571
3.95 0.05 0.200004585
4.05 0.05 0.2000045706
4.15 0.05 0.2000045279
4.25 0.05 0.2000044572
4.35 0.05 0.2000043589
4.45 0.05 0.2000042336
4.55 0.05 0.2000040822
4.65 0.05 0.2000039056
4.75 0.05 0.2000037048
4.85 0.05 0.2000034812
4.95 0.05 0.2000032362
5.05 0.05 0.2000029712
5.15 0.05 0.200002688
5.25 0.05 0.2000023883
5.35 0.05 0.2000020739
5.45 0.05 0.2000017469
5.55 0.05 0.2000014093
5.65 0.05 0.2000010631
5.75 0.05 0.2000007105
5.85 0.05 0.2000003537
5.95 0.05 0.1999999949
6.05 0.05 0.1999996363
6.15 0.05 0.1999992802
6.25 0.05 0.1999989287
6.35 0.05 0.1999985839
6.45 0.05 0.199998248
6.55 0.05 0.1999979231
6.65 0.05 0.1999976111
6.75 0.05 0.1999973139
6.85 0.05 0.1999970334
6.95 0.05 0.1999967713
7.05 0.05 0.1999965291
7.15 0.05 0.1999963083
7.25 0.05 0.1999961103
7.35 0.05 0.1999959363
7.45 0.05 0.1999957873
7.55 0.05 0.1999956642
7.65 0.05 0.1999955677
7.75 0.05 0.1999954985
7.85 0.05 0.199995457
7.95 0.05 0.1999954434
8.05 0.05 0.1999954578
8.15 0.05 0.1999955001
8.25 0.05 0.19999557
8.35 0.05 0.1999956671
8.45 0.05 0.1999957909
8.55 0.05 0.1999959406
8.65 0.05 0.1999961153
8.75 0.05 0.1999963139
8.85 0.05 0.1999965351
8.95 0.05 0.1999967778
9.05 0.05 0.1999970404
9.15 0.05 0.1999973212
9.25 0.05 0.1999976186
9.35 0.05 0.1999979309
9.45 0.05 0.1999982559
9.55 0.05 0.1999985919
9.65 0.05 0.1999989367
9.75 0.05 0.1999992882
9.85 0.05 0.1999996443
9.95 0.05 0.2000000027
10.05 0.05 0.2000003613
10.15 0.05 0.2000007179
10.25 0.05 0.2000010702
10.35 0.05 0.2000014161
10.45 0.05 0.2000017534
10.55 0.05 0.20000208
10.65 0.05 0.200002394
10.75 0.05 0.2000026933
10.85 0.05 0.2000029761
10.95 0.05 0.2000032407
11.05 0.05 0.2000034853
11.15 0.05 0.2000037084
11.25 0.05 0.2000039087
11.35 0.05 0.2000040849
11.45 0.05 0.2000042359
11.55 0.05 0.2000043607
11.65 0.05 0.2000044585
11.75 0.05 0.2000045288
11.85 0.05 0.200004571
11.95 0.05 0.200004585
12.05 0.05 0.2000045706
12.15 0.05 0.2000045279
12.25 0.05 0.2000044572
12.35 0.05 0.2000043589
12.45 0.05 0.2000042336
12.55 0.05 0.2000040822
12.65 0.05 0.2000039056
12.75 0.05 0.2000037048
12.85 0.05 0.2000034812
12.95 0.05 0.2000032362
13.05 0.05 0.2000029712
13.15 0.05 0.200002688
13.25 0.05 0.2000023883
13.35 0.05 0.2000020739
13.45 0.05 0.2000017469
13.55 0.05 0.2000014093
13.65 0.05 0.2000010631
13.75 0.05 0.2000007105
13.85 0.05 0.2000003537
13.95 0.05 0.1999999949
14.05 0.05 0.1999996363
14.15 0.05 0.1999992802
14.25 0.05 0.1999989287
14.35 0.05 0.1999985839
14.45 0.05 0.199998248
14.55 0.05 0.1999979231
14.65 0.05 0.1999976111
14.75 0.05 0.1999973139
14.85 0.05 0.1999970334
14.95 0.05 0.1999967713
15.05 0.05 0.1999965291
15.15 0.05 0.1999963083
15.25 0.05 0.1999961103
15.35 0.05 0.1999959363
15.45 0.05 0.1999957873
15.55 0.05 0.1999956642
15.65 0.05 0.1999955677
15.75 0.05 0.1999954985
15.85 0.05 0.199995457
15.95 0.05 0.1999954434

0.05 0.15 0.1999955001
0.15 0.15 0.1999955707
0.25 0.15 0.1999956687
0.35 0.15 0.1999957932
0.45 0.15 0.1999959436
0.55 0.15 0.1999961189
0.65 0.15 0.1999963181
0.75 0.15 0.19999654
0.85 0.15 0.1999967832
0.95 0.15 0.1999970463
1.05 0.15 0.1999973275
1.15 0.15 0.1999976254
1.25 0.15 0.1999979379
1.35 0.15 0.1999982632
1.45 0.15 0.1999985994
1.55 0.15 0.1999989443
1.65 0.15 0.1999992959
1.75 0.15 0.199999652
1.85 0.15 0.2000000104
1.95 0.15 0.2000003689
2.05 0.15 0.2000007253
2.15 0.15 0.2000010775
2.25 0.15 0.2000014231
2.35 0.15 0.2000017602
2.45 0.15 0.2000020866
2.55 0.15 0.2000024002
2.65 0.15 0.2000026992
2.75 0.15 0.2000029816
2.85 0.15 0.2000032458
2.95 0.15 0.20000349
3.05 0.15 0.2000037128
3.15 0.15 0.2000039127
3.25 0.15 0.2000040884
3.35 0.15 0.2000042389
3.45 0.15 0.2000043633
3.55 0.15 0.2000044607
3.65 0.15 0.2000045305
3.75 0.15 0.2000045723
3.85 0.15 0.2000045859
3.95 0.15 0.200004571
4.05 0.15 0.2000045279
4.15 0.15 0.2000044567
4.25 0.15 0.200004358
4.35 0.15 0.2000042323
4.45 0.15 0.2000040804
4.55 0.15 0.2000039033
4.65 0.15 0.2000037021
4.75 0.15 0.200003478
4.85 0.15 0.2000032325
4.95 0.15 0.200002967
5.05 0.15 0.2000026833
5.15 0.15 0.2000023832
5.25 0.15 0.2000020684
5.35 0.15 0.2000017409
5.45 0.15 0.2000014029
5.55 0.15 0.2000010563
5.65 0.15 0.2000007034
5.75 0.15 0.2000003463
5.85 0.15 0.1999999872
5.95 0.15 0.1999996284
6.05 0.15 0.1999992721
6.15 0.15 0.1999989204
6.25 0.15 0.1999985756
6.35 0.15 0.1999982397
6.45 0.15 0.1999979148
6.55 0.15 0.1999976029
6.65 0.15 0.199997306
6.75 0.15 0.1999970257
6.85 0.15 0.1999967638
6.95 0.15 0.199996522
7.05 0.15 0.1999963017
7.15 0.15 0.1999961042
7.25 0.15 0.1999959307
7.35 0.15 0.1999957822
7.45 0.15 0.1999956598
7.55 0.15 0.199995564
7.65 0.15 0.1999954955
7.75 0.15 0.1999954547
7.85 0.15 0.1999954419
7.95 0.15 0.199995457
8.05 0.15 0.1999955001
8.15 0.15 0.1999955707
8.25 0.15 0.1999956687
8.35 0.15 0.1999957932
8.45 0.15 0.1999959436
8.55 0.15 0.1999961189
8.65 0.15 0.1999963181
8.75 0.15 0.19999654
8.85 0.15 0.1999967832
8.95 0.15 0.1999970463
9.05 0.15 0.1999973275
9.15 0.15 0.1999976254
9.25 0.15 0.1999979379
9.35 0.15 0.1999982632
9.45 0.15 0.1999985994
9.55 0.15 0.1999989443
9.65 0.15 0.1999992959
9.75 0.15 0.199999652
9.85 0.15 0.2000000104
9.95 0.15 0.2000003689
10.05 0.15 0.2000007253
10.15 0.15 0.2000010775
10.25 0.15 0.2000014231
10.35 0.15 0.2000017602
10.45 0.15 0.2000020866
10.55 0.15 0.2000024002
10.65 0.15 0.2000026992
10.75 0.15 0.2000029816
10.85 0.15 0.2000032458
10.95 0.15 0.20000349
11.05 0.15 0.2000037128
11.15 0.15 0.2000039127
11.25 0.15 0.2000040884
11.35 0.15 0.2000042389
11.45 0.15 0.2000043633
11.55 0.15 0.2000044607
11.65 0.15 0.2000045305
11.75 0.15 0.2000045723
11.85 0.15 0.2000045859
11.95 0.15 0.200004571
12.05 0.15 0.2000045279
12.15 0.15 0.2000044567
12.25 0.15 0.200004358
12.35 0.15 0.2000042323
12.45 0.15 0.2000040804
12.55 0.15 0.2000039033
12.65 0.15 0.2000037021
12.75 0.15 0.200003478
12.85 0.15 0.2000032325
12.95 0.15 0.200002967
13.05 0.15 0.2000026833
13.15 0.15 0.2000023832
13.25 0.15 0.2000020684
13.35 0.15 0.2000017409
13.45 0.15 0.2000014029
13.55 0.15 0.2000010563
13.65 0.15 0.2000007034
13.75 0.15 0.2000003463
13.85 0.15 0.1999999872
13.95 0.15 0.1999996284
14.05 0.15 0.1999992721
14.15 0.15 0.1999989204
14.25 0.15 0.1999985756
14.35 0.15 0.1999982397
14.45 0.15 0.1999979148
14.55 0.15 0.1999976029
14.65 0.15 0.199997306
14.75 0.15 0.1999970257
14.85 0.15 0.1999967638
14.95 0.15 0.199996522
15.05 0.15 0.1999963017
15.15 0.15 0.1999961042
15.25 0.15 0.1999959307
15.35 0.15 0.1999957822
15.45 0.15 0.1999956598
15.55 0.15 0.199995564
15.65 0.15 0.1999954955
15.75 0.15 0.1999954547
15.85 0.15 0.1999954419
15.95 0.15 0.199995457

0.05 0.25 0.19999557
0.15 0.25 0.1999956687
0.25 0.25 0.1999957939
0.35 0.25 0.1999959451
0.45 0.25 0.1999961211
0.55 0.25 0.199996321
0.65 0.25 0.1999965436
0.75 0.25 0.1999967874
0.85 0.25 0.199997051
0.95 0.25 0.1999973328
1.05 0.25 0.1999976311
1.15 0.25 0.199997944
1.25 0.25 0.1999982697
1.35 0.25 0.1999986062
1.45 0.25 0.1999989514
1.55 0.25 0.1999993031
1.65 0.25 0.1999996593
1.75 0.25 0.2000000178
1.85 0.25 0.2000003763
1.95 0.25 0.2000007327
2.05 0.25 0.2000010848
2.15 0.25 0.2000014303
2.25 0.25 0.2000017672
2.35 0.25 0.2000020933
2.45 0.25 0.2000024067
2.55 0.25 0.2000027055
2.65 0.25 0.2000029876
2.75 0.25 0.2000032514
2.85 0.25 0.2000034953
2.95 0.25 0.2000037177
3.05 0.25 0.2000039172
3.15 0.25 0.2000040926
3.25 0.25 0.2000042428
3.35 0.25 0.2000043667
3.45 0.25 0.2000044637
3.55 0.25 0.2000045331
3.65 0.25 0.2000045745
3.75 0.25 0.2000045876
3.85 0.25 0.2000045723
3.95 0.25 0.2000045288
4.05 0.25 0.2000044572
4.15 0.25 0.200004358
4.25 0.25 0.2000042318
4.35 0.25 0.2000040794
4.45 0.25 0.2000039019
4.55 0.25 0.2000037002
4.65 0.25 0.2000034756
4.75 0.25 0.2000032296
4.85 0.25 0.2000029637
4.95 0.25 0.2000026795
5.05 0.25 0.2000023788
5.15 0.25 0.2000020635
5.25 0.25 0.2000017356
5.35 0.25 0.2000013971
5.45 0.25 0.2000010501
5.55 0.25 0.2000006967
5.65 0.25 0.2000003392
5.75 0.25 0.1999999798
5.85 0.25 0.1999996207
5.95 0.25 0.1999992641
6.05 0.25 0.1999989122
6.15 0.25 0.1999985672
6.25 0.25 0.1999982312
6.35 0.25 0.1999979062
6.45 0.25 0.1999975943
6.55 0.25 0.1999972974
6.65 0.25 0.1999970173
6.75 0.25 0.1999967556
6.85 0.25 0.1999965141
6.95 0.25 0.1999962941
7.05 0.25 0.1999960969
7.15 0.25 0.1999959239
7.25 0.25 0.199995776
7.35 0.25 0.1999956541
7.45 0.25 0.1999955589
7.55 0.25 0.1999954911
7.65 0.25 0.199995451
7.75 0.25 0.1999954388
7.85 0.25 0.1999954547
7.95 0.25 0.1999954985
8.05 0.25 0.19999557
8.15 0.25 0.1999956687
8.25 0.25 0.1999957939
8.35 0.25 0.1999959451
8.45 0.25 0.1999961211
8.55 0.25 0.199996321
8.65 0.25 0.1999965436
8.75 0.25 0.1999967874
8.85 0.25 0.199997051
8.95 0.25 0.1999973328
9.05 0.25 0.1999976311
9.15 0.25 0.199997944
9.25 0.25 0.1999982697
9.35 0.25 0.1999986062
9.45 0.25 0.1999989514
9.55 0.25 0.1999993031
9.65 0.25 0.1999996593
9.75 0.25 0.2000000178
9.85 0.25 0.2000003763
9.95 0.25 0.2000007327
10.05 0.25 0.2000010848
10.15 0.25 0.2000014303
10.25 0.25 0.2000017672
10.35 0.25 0.2000020933
10.45 0.25 0.2000024067
10.55 0.25 0.2000027055
10.65 0.25 0.2000029876
10.75 0.25 0.2000032514
10.85 0.25 0.2000034953
10.95 0.25 0.2000037177
11.05 0.25 0.2000039172
11.15 0.25 0.2000040926
11.25 0.25 0.2000042428
11.35 0.25 0.2000043667
11.45 0.25 0.2000044637
11.55 0.25 0.2000045331
11.65 0.25 0.2000045745
11.75 0.25 0.2000045876
11.85 0.25 0.2000045723
11.95 0.25 0.2000045288
12.05 0.25 0.2000044572
12.15 0.25 0.200004358
12.25 0.25 0.2000042318
12.35 0.25 0.2000040794
12.45 0.25 0.2000039019
12.55 0.25 0.2000037002
12.65 0.25 0.2000034756
12.75 0.25 0.2000032296
12.85 0.25 0.2000029637
12.95 0.25 0.2000026795
13.05 0.25 0.2000023788
13.15 0.25 0.2000020635
13.25 0.25 0.2000017356
13.35 0.25 0.2000013971
13.45 0.25 0.2000010501
13.55 0.25 0.2000006967
13.65 0.25 0.2000003392
13.75 0.25 0.1999999798
13.85 0.25 0.1999996207
13.95 0.25 0.1999992641
14.05 0.25 0.1999989122
14.15 0.25 0.1999985672
14.25 0.25 0.1999982312
14.35 0.25 0.1999979062
14.45 0.25 0.1999975943
14.55 0.25 0.1999972974
14.65 0.25 0.1999970173
14.75 0.25 0.1999967556
14.85 0.25 0.1999965141
14.95 0.25 0.1999962941
15.05 0.25 0.1999960969
15.15 0.25 0.1999959239
15.25 0.25 0.199995776
15.35 0.25 0.1999956541
15.45 0.25 0.1999955589
15.55 0.25 0.1999954911
15.65 0.25 0.199995451
15.75 0.25 0.1999954388
15.85 0.25 0.1999954547
15.95 0.25 0.1999954985

0.05 0.35 0.1999956671
0.15 0.35 0.1999957932
0.25 0.35 0.1999959451
0.35 0.35 0.1999961219
0.45 0.35 0.1999963225
0.55 0.35 0.1999965457
0.65 0.35 0.1999967902
