backend,wall_time_s,gpu_solver_time_s,iterations,final_error,tolerance,converged,return_code,omp_threads,output_dir,stdout_log
cpu,435.272822,,3156,9.970000000000e-09,1.000000000000e-08,1,0,20,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260412_212754/cpu,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260412_212754/cpu/run_stdout.log
cuda,89.517483,87.460000,3156,9.970000000000e-09,1.000000000000e-08,1,0,,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260412_212754/cuda,/mnt/shared/Studying_2026_2/ACS/SALR3YUCUDA/analysis/results/real_params_cuda_vs_cpu_20260412_212754/cuda/run_stdout.log
